CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,1,6,-,"2,357.60",468.05,500,"2,343.30","2,387.15",200,"14,150.00","1,950",1.90,1.95,"1,050",0.40,1.90,53.52,"17,359","6,580","7,975",
,1,1,1,86.36,"2,392.20",668.75,200,"2,293.70","2,337.85",200,"14,200.00",50,1.75,2.00,100,0.50,2.00,52.75,"52,970","26,680","39,344",
,-,-,-,-,-,-,"1,000","2,144.65","2,321.40",200,"14,250.00",600,1.80,2.25,50,-9.80,2.10,51.96,350,76,76,
,1,1,1,-,"2,083.20",440.55,"1,000","2,197.45","2,248.05",200,"14,300.00",50,1.95,2.20,100,0.70,2.30,51.43,"6,068","1,264","3,308",
,-,-,-,-,-,-,"1,000","2,038.20","2,228.00",200,"14,350.00",600,1.50,2.50,50,-1.30,1.40,47.55,625,41,42,
,-,-,-,-,-,-,200,"2,096.70","2,148.90",200,"14,400.00",50,2.00,2.50,"2,200",0.75,2.50,49.74,"20,352","10,490","10,818",
,9,9,12,-,"2,000.00",475.25,"1,000","1,988.10","2,136.70","1,000","14,450.00",300,1.85,2.70,450,0.65,2.70,49.11,"3,216",99,101,
,10,9,9,-,"1,914.40",62.70,300,"1,994.10","2,038.10",200,"14,500.00","2,650",2.20,2.30,900,0.55,2.20,46.81,"69,424","27,631","39,074",
,1,1,3,-,"1,852.30",403.80,"1,000","1,886.90","2,033.25",200,"14,550.00",600,1.35,3.40,300,-2.70,2.30,45.98,440,151,151,
,6,6,10,-,"1,900.00",488.90,400,"1,907.30","1,919.70",100,"14,600.00",250,2.05,2.70,"2,000",0.40,2.05,44.27,"3,773",673,732,
,-,-,-,-,-,-,"1,000","1,816.60","1,932.50","1,000","14,650.00",600,2.00,-,-,-237.10,2.45,44.15,"2,648",14,14,
,-,-,-,-,-,-,200,"1,794.70","1,837.55",200,"14,700.00",600,2.25,2.70,"2,000",0.50,2.25,42.61,"11,392","2,205","2,634",
,-,-,-,-,-,-,200,"1,750.45","1,788.05",200,"14,750.00",100,2.50,3.00,400,0.35,2.10,41.18,99,-6,82,
,-,-,-,-,-,-,200,"1,698.50","1,731.55",200,"14,800.00",50,2.30,2.60,250,0.90,2.70,41.39,"13,680",911,"3,867",
,-,-,-,-,-,-,"1,000","1,585.40","1,729.60","1,000","14,850.00",50,2.10,3.00,50,0.15,2.10,39.04,51,1,18,
,-,-,-,-,-,-,200,"1,601.30","1,633.45",200,"14,900.00",400,2.75,2.80,700,0.80,2.75,39.29,"16,416","1,953","5,488",
,-,-,-,-,-,-,"1,000","1,488.15","1,629.05","1,000","14,950.00",50,2.10,3.10,750,0.60,2.90,38.46,322,43,87,
,26,1,3,-,"1,518.00",169.00,200,"1,510.20","1,576.60",50,"15,000.00","2,400",2.85,2.90,"2,400",0.80,2.90,37.36,"2,17,397","20,460","52,146",
,-,-,-,-,-,-,200,"1,444.80","1,525.15",200,"15,050.00",50,2.30,3.80,150,1.30,3.75,37.56,317,48,97,
,3,-2,2,-,"1,340.30",101.30,50,"1,409.95","1,420.30",50,"15,100.00",50,2.65,3.90,100,1.65,3.90,36.62,"23,235","2,274","4,048",
,1,-,-,-,"1,175.00",-,50,"1,359.75","1,377.90",650,"15,150.00","1,000",2.50,3.55,600,0.60,2.90,34.04,"1,253",360,421,
,35,-10,16,-,"1,236.85",79.15,150,"1,312.90","1,318.65",200,"15,200.00",50,2.55,3.55,150,1.00,3.50,33.81,"47,074",449,"7,532",
,12,2,2,-,"1,216.00",136.90,250,"1,260.90","1,273.90",100,"15,250.00",50,3.20,4.90,300,0.95,3.50,32.68,"1,711",454,699,
,15,-1,5,-,"1,221.80",163.30,300,"1,213.10","1,219.60",100,"15,300.00",400,3.05,3.60,50,0.35,3.05,30.94,"53,432","1,117","7,201",
,12,-,-,-,965.10,-,900,"1,118.35","1,195.45",900,"15,350.00",300,3.05,4.90,300,0.50,3.50,30.43,"5,568",479,998,
,34,-1,10,-,"1,120.10",173.30,100,"1,114.40","1,171.20",50,"15,400.00",50,3.40,4.00,400,0.80,4.00,29.88,"90,105","3,823","12,761",
,21,-,2,-,"1,034.10",175.40,200,"1,062.05","1,122.15",100,"15,450.00",50,3.90,4.50,200,0.75,4.20,28.95,"4,961",518,"1,101",
,362,-5,91,-,"1,012.75",160.65,"2,150","1,010.55","1,019.95",50,"15,500.00","1,800",4.20,4.35,250,0.70,4.45,28.04,"3,96,067","32,665","58,724",
,38,-,6,-,920.20,129.80,100,962.90,"1,020.85",200,"15,550.00",250,4.60,4.90,300,0.75,4.90,27.29,"13,009",822,"3,088",
,252,19,163,-,905.90,153.75,200,912.85,922.45,50,"15,600.00","2,750",5.00,5.05,400,0.50,5.05,26.23,"1,68,474","2,540","42,008",
,57,-,1,-,780.00,87.20,100,865.50,870.80,300,"15,650.00",50,5.10,5.50,400,0.85,5.50,25.40,"11,074","1,569","3,392",
,352,35,132,-,820.15,164.40,800,816.30,821.70,350,"15,700.00","2,000",5.75,5.90,"1,500",0.60,5.75,24.38,"1,36,131","22,688","39,322",
,106,-12,88,-,767.15,160.85,100,767.20,774.95,200,"15,750.00",50,5.90,6.50,100,0.75,6.30,23.54,"19,967","2,724","6,192",
,563,-86,475,-,719.65,166.25,100,719.20,722.50,50,"15,800.00",50,7.00,7.20,200,0.85,7.00,22.73,"2,12,224","42,633","59,292",
,113,-5,109,-,665.30,158.25,400,665.50,717.25,50,"15,850.00",850,7.50,7.75,"1,000",0.55,7.30,21.64,"34,182","3,214","6,919",
,"1,140",31,594,-,625.00,168.25,400,620.45,626.15,50,"15,900.00",600,8.00,8.45,150,0.25,8.05,20.76,"2,03,929","29,809","44,653",
,176,-26,165,-,562.60,156.00,400,571.10,619.60,200,"15,950.00",50,8.90,9.00,550,0.05,9.00,19.90,"46,639",830,"8,431",
,"3,785",-109,"7,574",-,524.90,164.15,100,522.45,524.90,200,"16,000.00",900,9.85,10.35,50,-1.30,9.85,18.93,"3,00,393","21,045","56,842",
,411,-23,560,-,475.45,159.80,50,474.70,477.40,500,"16,050.00",850,11.40,11.45,50,-2.70,11.30,18.12,"82,597","3,998","10,231",
,"3,630",-395,"5,558",-,430.75,159.80,300,426.80,436.90,50,"16,100.00",800,12.55,13.50,"3,200",-4.90,13.50,17.46,"3,06,547","13,034","37,675",
,"2,044",376,"2,876",-,378.30,150.25,"2,850",376.10,381.40,"1,500","16,150.00",50,14.50,14.90,100,-9.70,14.90,16.41,"1,46,583","9,376","18,913",
,"5,028","-2,208","37,574",-,332.85,146.95,450,332.10,339.25,"1,250","16,200.00",850,17.70,18.00,350,-15.40,18.00,15.71,"5,23,803","12,382","54,780",
,"6,093","1,718","34,205",-,287.00,139.35,100,287.05,290.70,50,"16,250.00",50,22.05,22.50,200,-23.40,22.10,15.06,"2,87,223","4,388","28,076",
,"47,034","12,741","2,73,151",-,243.50,128.65,100,242.70,244.00,"1,100","16,300.00",150,27.45,27.55,"2,500",-34.50,27.45,14.43,"8,21,435","48,635","1,07,204",
,"10,045","-5,684","1,70,950",-,200.75,114.70,"1,000",194.25,202.15,100,"16,350.00",100,34.00,35.00,"6,700",-49.35,34.00,13.76,"4,34,861","24,506","45,057",
,"56,371","19,846","9,51,954",7.27,161.50,99.10,550,160.25,161.45,50,"16,400.00","3,050",44.00,44.95,50,-64.90,45.00,13.49,"12,06,987","1,04,582","1,21,204",
,"19,928","7,832","6,83,841",7.80,124.00,80.80,950,122.00,123.95,50,"16,450.00","1,750",57.50,57.75,50,-83.55,58.00,13.10,"6,14,331","39,892","41,264",
,"61,411","23,424","15,38,657",7.99,90.80,62.00,"1,700",90.05,90.80,"3,450","16,500.00","1,450",74.05,75.00,50,-101.30,74.05,12.68,"8,59,889","70,814","82,288",
,"28,035","15,774","6,63,913",8.13,63.60,45.20,200,63.25,64.00,"1,750","16,550.00",750,97.05,98.80,250,-113.80,97.50,12.75,"1,35,713","10,143","10,390",
,"59,544","25,942","10,16,094",8.18,42.00,30.35,"1,050",41.50,42.00,"4,950","16,600.00","2,500",126.00,127.30,400,-134.10,126.05,12.95,"1,22,543","11,606","12,370",
,"32,146","19,049","4,21,589",8.18,26.00,18.95,"4,600",26.00,26.15,50,"16,650.00",50,159.00,162.65,50,-142.45,159.10,13.26,"11,694","2,137","2,185",
,"37,248","14,992","5,57,098",8.36,16.00,11.20,"1,350",15.60,16.00,"3,450","16,700.00",300,200.50,201.00,"1,700",-150.15,200.50,14.34,"29,280","3,725","4,023",
,"22,653","16,181","2,29,958",8.53,9.45,6.05,50,9.35,9.45,"1,000","16,750.00","2,500",200.05,252.05,850,-153.90,245.50,15.68,797,173,221,
,"76,943","55,398","4,88,863",8.86,5.85,3.10,150,5.65,5.85,550,"16,800.00",850,290.00,291.65,150,-157.95,291.35,16.97,"6,144",830,969,
,"13,120","10,577","1,21,930",9.18,3.60,1.45,750,3.55,3.85,800,"16,850.00",50,332.50,339.40,200,-158.10,337.00,18.07,71,28,63,
,"30,343","19,774","2,70,502",9.97,2.90,1.05,900,2.70,2.90,"1,400","16,900.00","1,900",377.65,389.40,950,-161.40,389.70,20.36,635,171,187,
,"6,128","5,846","47,569",10.52,2.10,0.50,50,2.10,2.70,"5,600","16,950.00",150,432.85,438.75,100,-994.95,430.50,20.24,51,32,32,
,"64,128","37,043","3,29,997",11.51,2.00,0.60,500,2.00,2.10,"1,150","17,000.00",50,480.50,487.60,100,-166.00,485.00,22.85,"1,037",168,200,
,"4,798","4,534","15,536",12.36,1.80,0.45,"2,800",1.75,1.90,800,"17,050.00","2,750",476.75,568.10,100,-,692.50,-,-,-,1,
,"14,032","11,348","77,132",13.03,1.50,0.30,50,1.40,1.50,"1,100","17,100.00",700,579.30,587.95,100,-157.40,585.95,26.29,9,3,4,
,781,735,"3,646",13.75,1.30,0.10,"1,450",1.35,1.45,50,"17,150.00",100,630.90,642.50,100,-,-,-,-,-,-,
,"13,332","8,242","53,988",14.48,1.15,0.15,"5,100",1.15,1.25,50,"17,200.00",400,677.45,688.35,300,-,-,-,-,-,-,
,344,303,"1,146",15.98,1.50,0.45,"1,550",1.00,1.40,"5,600","17,250.00",400,726.40,746.10,400,-,-,-,-,-,-,
,"4,362","2,692","21,703",16.35,1.15,0.30,400,1.15,1.20,"6,400","17,300.00","1,100",776.00,788.10,300,-,-,-,-,-,-,
,184,184,779,17.28,1.15,-175.40,250,1.00,1.15,"1,450","17,350.00",400,826.45,839.45,400,-,-,-,-,-,-,
,"6,126","4,115","19,482",17.53,0.85,-,"1,650",0.85,0.95,"3,800","17,400.00","1,200",875.85,887.85,300,-,-,-,-,-,-,
,264,262,575,18.01,0.70,-0.05,600,0.70,0.90,"4,750","17,450.00","1,000",884.65,972.55,900,-,-,-,-,-,-,
,"15,191","6,740","56,597",19.15,0.80,-0.05,100,0.85,0.90,"9,400","17,500.00",100,978.05,988.25,100,-141.65,"1,000.00",41.86,5,2,2,
,31,17,"14,231",19.87,0.75,-0.40,950,0.75,1.20,"5,600","17,550.00",400,"1,021.00","1,063.95",400,-106.50,"1,049.60",43.24,4,1,2,
,"1,237",869,"7,337",21.29,0.95,0.30,400,0.80,0.85,"2,000","17,600.00",500,"1,073.45","1,102.20",500,-,-,-,-,-,-,
,110,110,"13,000",21.72,0.80,-12.25,200,0.65,0.80,550,"17,650.00",500,"1,119.35","1,148.95",500,-,-,-,-,-,-,
,"1,084",213,"5,647",21.87,0.60,-0.05,"15,750",0.60,0.70,800,"17,700.00",500,"1,169.05","1,198.90",500,-,-,-,-,-,-,
,690,445,"6,727",22.88,0.65,0.10,"3,050",0.60,0.65,100,"17,750.00",200,"1,218.40","1,247.90",200,-,-,-,-,-,-,
,"11,241","4,421","20,527",23.29,0.55,-0.05,"50,000",0.50,0.55,"3,850","17,800.00",200,"1,266.15","1,296.20",200,-,-,-,-,-,-,
,87,87,"6,852",24.70,0.70,0.20,400,0.65,0.75,"1,700","17,850.00",400,"1,310.40","1,343.95",400,-,-,-,-,-,-,
